time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:01:28.886235Z,-1,AGNjbm9icmFjiBkE/v9YF6gO5KhbKuM=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-99,1.8,-1,0,-1,-1.0,23,2.0
2020-05-01T00:01:35.000657Z,fe8245a0,QKBFgv6AHQoBTXXnUWZd5JvuWG4Iznkf5ttJEqqZoZo83F8E4LQCcJ7now==,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-109,-16.5,-1,10,2589,1.0,43,0.0
2020-05-01T00:01:35.407474Z,20000004,QAQAACCApJoKwfGHxbYsxqwyNRJJJcjYt6WWW4Q=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-4.2,-1,10,39588,10.0,29,0.0
2020-05-01T00:01:35.917930Z,-1,AGNjbm9icmFjiBkE/v9YF6jdIc/BoxM=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-96,-3.2,-1,0,-1,-1.0,23,2.0
2020-05-01T00:01:37.927320Z,26012bfd,QP0rASaAvTkF8zkpjSyre//2//qi,0000024b0b031c97,1,867300000,7.0,125.0,4/5,-97,6.5,-1,10,14781,5.0,21,0.0
2020-05-01T00:01:39.764289Z,20000007,QAcAACCAfbYKpDpPx+FFuPn5WUd7ad5LuyQ=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-105,1.2,-1,10,46717,10.0,26,0.0
2020-05-01T00:01:41.931600Z,26012682,QIImASYAJdQBioGIr7Ym22Q4VA==,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-76,8.8,-1,10,54309,1.0,19,0.0
2020-05-01T00:01:42.951576Z,-1,AGNjbm9icmFjiBkE/v9YF6i7RCVRakA=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-94,-10.0,-1,0,-1,-1.0,23,2.0
2020-05-01T00:01:44.689240Z,2601282d,QC0oASaAwwAFYG3N8mqjHh9JL4rNiX/ExhbdEBI=,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-107,-8.5,-1,10,195,5.0,29,0.0
2020-05-01T00:01:49.985213Z,-1,AGNjbm9icmFjiBkE/v9YF6j9Ho899X4=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-100,-0.5,-1,0,-1,-1.0,23,2.0
2020-05-01T00:01:57.018858Z,-1,AGNjbm9icmFjiBkE/v9YF6ha9Av+Cx4=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-97,4.0,-1,0,-1,-1.0,23,2.0
