size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
136,448,6,16,21,25,36,36,36,36,36,36,36,36,38,43,43,43,43,43,43,43,43,43,56,68,76,100,112,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369227
138,448,7,16,21,28,33,35,35,35,35,35,35,35,36,42,42,42,42,42,42,42,42,42,65,68,83,98,111,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369240
145,464,3,16,21,26,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,43,47,54,71,82,102,123,141,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369320
156,432,9,16,21,26,26,26,26,32,32,39,39,39,40,42,42,46,49,53,53,53,60,63,70,90,107,119,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369326
125,496,0,16,21,28,33,34,34,34,34,34,34,34,39,40,40,40,40,40,40,40,40,40,65,66,84,98,102,103,107,112,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369329
433,816,7,16,21,29,52,52,52,52,52,52,52,52,54,60,60,60,60,60,60,60,60,60,81,83,100,115,133,152,156,156,169,169,169,169,180,193,205,228,241,241,254,284,304,310,343,347,360,377,389,407,423,369432
137,432,9,16,21,31,31,32,32,32,32,32,32,32,34,35,35,35,35,35,35,35,42,43,49,68,87,104,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369446
179,464,4,16,21,30,36,36,36,44,48,48,48,48,51,51,56,61,68,75,75,75,83,84,91,103,122,141,155,174,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369537
126,496,0,16,21,32,36,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,40,40,62,62,79,96,102,102,106,110,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369677
122,432,3,16,21,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,38,38,57,59,76,93,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369716
115,496,0,16,21,32,36,37,37,37,37,37,37,37,41,41,41,41,41,41,41,41,41,41,63,63,81,96,100,101,105,109,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369797
140,464,5,16,21,28,31,31,31,31,34,34,34,34,38,38,38,38,38,38,38,38,44,49,55,72,88,102,122,136,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369838
135,432,9,16,21,28,28,28,28,28,28,35,35,35,38,39,39,39,39,39,39,39,48,51,58,73,89,107,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369842
122,432,4,16,21,31,31,32,32,32,32,32,32,32,36,40,40,40,40,40,40,40,40,40,58,61,73,90,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369849
138,432,4,16,21,29,29,30,30,30,30,30,30,30,35,35,35,36,36,39,39,39,43,49,55,72,90,106,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369885
142,464,5,16,21,29,33,33,33,33,33,33,33,33,36,37,37,37,37,37,37,37,39,39,52,68,88,104,120,136,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369886
124,432,11,16,21,28,28,31,31,31,31,31,31,31,36,38,38,38,38,38,38,38,38,38,59,61,73,94,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369904
132,432,5,16,21,26,26,26,26,26,26,26,26,26,31,31,31,31,31,31,31,31,41,42,49,69,87,103,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369934
130,432,11,16,21,31,31,32,32,32,32,32,32,32,32,39,39,39,39,39,39,39,39,40,61,64,76,96,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370024
117,432,11,16,21,28,28,29,29,29,29,29,29,29,33,35,35,35,35,35,35,35,35,35,53,56,72,88,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370084
444,816,8,16,21,28,53,53,53,53,53,53,53,53,56,61,61,61,61,61,61,61,61,61,81,81,98,115,128,156,159,159,177,177,177,177,189,202,214,235,250,250,262,292,312,318,350,354,370,386,397,414,434,370105
136,432,5,16,21,30,30,30,30,30,30,30,30,30,34,35,35,35,35,35,35,35,42,43,50,72,86,103,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370138
173,496,1,16,21,27,30,34,34,34,34,34,34,34,36,38,38,38,38,38,38,38,46,48,51,80,93,111,128,144,152,158,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370170
127,432,6,16,21,27,27,31,31,31,31,31,31,31,32,37,37,37,37,37,37,37,37,39,53,57,72,90,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370367
480,816,6,16,21,28,55,55,55,55,55,55,55,55,64,66,66,66,66,66,66,66,66,66,84,89,104,121,136,151,151,151,175,186,190,190,199,216,228,249,265,265,276,306,323,336,364,368,385,402,435,455,471,370439
125,432,11,16,21,30,30,30,30,30,30,30,30,30,36,38,38,38,38,38,38,38,41,41,57,62,77,91,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370456
164,496,1,16,21,28,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,43,48,50,69,86,103,121,135,144,148,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370482
132,448,8,16,21,28,33,33,33,33,33,33,33,33,33,40,40,40,40,40,40,40,40,42,56,59,77,95,112,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370489
125,432,11,16,21,29,29,31,31,31,31,31,31,31,35,38,38,38,38,38,38,38,38,38,48,56,71,87,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370516
477,816,7,16,21,29,62,62,62,62,62,62,62,62,67,70,70,70,70,70,70,70,70,70,85,87,105,119,137,149,156,157,174,174,174,174,185,208,219,239,262,262,273,304,323,332,360,365,377,398,417,445,459,370716
122,432,9,16,21,29,29,33,33,33,33,33,33,33,34,38,38,38,38,38,38,38,38,38,56,57,74,91,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370718
136,432,4,16,21,29,31,31,31,31,31,31,31,31,34,35,35,35,35,35,35,35,42,43,49,67,85,104,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370737
118,432,11,16,21,28,28,28,28,28,28,28,28,28,34,36,36,36,36,36,36,36,36,36,53,56,72,85,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370804
142,464,4,16,21,30,33,36,36,36,36,37,37,37,39,39,39,39,39,39,39,39,47,50,56,76,90,107,122,136,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370929
308,816,5,16,21,25,44,44,44,44,44,44,44,44,51,55,55,55,55,55,55,55,55,55,68,68,89,104,120,140,140,143,162,162,162,162,171,179,191,210,222,222,227,228,228,232,237,247,253,256,258,262,299,370942
139,432,5,16,21,28,31,31,31,31,34,34,34,34,38,38,38,38,43,44,44,44,52,55,60,80,94,111,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371026
132,432,4,16,21,28,28,29,29,29,29,29,29,29,32,33,33,33,33,33,33,33,39,39,45,64,81,96,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371061
114,432,4,16,21,27,29,31,31,31,31,31,31,31,35,38,38,38,38,38,38,38,38,38,53,56,70,85,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371181
125,432,11,16,21,31,31,31,31,31,31,31,31,31,36,40,40,40,40,40,40,40,40,40,58,61,73,94,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371224
158,432,11,16,21,26,32,32,35,38,47,51,51,51,55,57,59,59,71,76,76,76,76,76,91,91,109,126,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371392
124,432,10,16,21,30,32,33,33,33,33,33,33,33,36,40,40,40,40,40,40,40,40,40,58,59,74,90,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371415
134,432,5,16,21,27,27,27,27,27,27,27,27,27,30,32,32,32,32,32,32,32,38,41,46,65,85,101,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371422
134,448,6,16,21,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,43,62,63,77,92,113,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371483
135,432,5,16,21,23,29,30,30,30,30,30,30,30,32,32,32,36,36,36,36,36,43,45,51,72,91,106,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371542
316,816,4,16,21,26,44,47,47,47,47,47,47,47,50,54,54,54,54,54,54,54,54,55,68,74,92,106,122,141,141,144,158,158,158,158,161,198,206,225,234,234,244,246,246,253,254,264,271,273,273,283,311,371565
308,816,3,16,21,28,44,45,45,45,45,45,45,45,51,54,54,54,54,54,54,54,54,55,74,74,89,103,119,140,141,143,160,160,160,160,168,190,197,216,228,228,234,234,234,241,243,253,260,262,264,273,294,371636
247,464,5,16,21,29,31,35,35,51,68,80,80,80,82,83,89,105,121,134,134,134,139,143,148,175,187,206,221,243,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371782
133,448,6,16,21,27,31,31,31,31,31,31,31,31,37,39,39,39,39,39,39,39,41,41,54,60,74,89,107,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372191
117,432,11,16,21,27,27,30,30,30,30,30,30,30,33,36,36,36,36,36,36,36,36,36,53,55,72,88,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372196
