size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
174,496,1,16,21,28,28,34,34,34,34,34,34,34,35,38,38,38,38,38,38,38,44,46,51,79,93,111,128,143,149,155,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370170
126,432,6,16,21,29,29,31,31,31,31,31,31,31,34,39,39,39,39,39,39,39,39,39,54,54,73,91,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370367
446,816,6,16,21,23,61,61,61,61,61,61,61,61,64,67,67,67,67,67,67,67,67,69,85,88,104,122,135,154,154,154,173,177,180,180,192,207,218,240,255,256,262,298,316,327,354,354,371,379,398,418,436,370439
128,432,11,16,21,30,30,32,32,32,32,32,32,32,37,41,41,41,41,41,41,41,41,41,60,63,79,94,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370456
163,496,1,16,21,27,31,31,31,31,31,31,31,31,35,38,38,38,38,38,38,38,44,46,52,66,86,103,118,135,138,145,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370482
135,448,8,16,21,28,34,34,34,34,34,34,34,34,38,41,41,41,41,41,41,41,41,41,60,62,80,96,103,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370489
126,432,11,16,21,27,27,30,30,30,30,30,30,30,34,39,39,39,39,39,39,39,39,39,54,57,71,87,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370516
466,816,7,16,21,31,63,63,63,63,63,63,63,63,67,70,70,70,70,70,70,70,70,70,86,88,105,122,138,155,157,157,175,175,175,175,185,206,218,239,259,259,269,303,320,331,359,363,375,396,408,434,447,370716
124,432,9,16,21,31,31,31,31,31,31,31,31,31,37,40,40,40,40,40,40,40,40,40,48,59,76,89,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370718
136,432,4,16,21,31,31,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,43,45,51,72,86,105,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370737
119,432,11,16,21,30,30,30,30,30,30,30,30,30,34,38,38,38,38,38,38,38,38,38,54,54,67,88,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370804
140,464,4,16,21,24,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,46,48,55,75,90,104,121,135,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370929
309,816,5,16,21,29,45,45,45,45,45,45,45,45,52,54,54,54,54,54,54,54,54,56,70,74,88,106,121,138,140,142,159,159,159,159,167,184,190,209,222,222,227,229,229,232,237,246,252,256,259,266,300,370942
131,432,5,16,21,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,42,42,50,67,82,99,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371026
132,432,4,16,21,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,38,40,49,65,82,98,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371061
114,432,4,16,21,27,27,32,32,32,32,32,32,32,33,38,38,38,38,38,38,38,38,38,52,52,70,86,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371181
124,432,11,16,21,32,32,34,34,34,34,34,34,34,36,39,39,39,39,39,39,39,39,42,58,61,77,94,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371224
120,432,11,16,21,27,27,27,27,27,27,27,27,27,37,40,40,40,40,40,40,40,40,42,59,61,75,92,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371392
125,432,10,16,21,32,32,33,33,33,33,33,33,33,37,41,41,41,41,41,41,41,41,41,57,62,77,93,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371415
133,432,5,16,21,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,41,49,64,85,102,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371422
138,448,6,16,21,30,36,36,36,36,36,36,36,36,40,43,43,43,43,43,43,43,43,43,62,65,81,96,114,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371483
136,432,5,16,21,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,38,41,46,73,89,105,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371542
310,816,4,16,21,28,45,45,45,45,45,45,45,45,52,55,55,55,55,55,55,55,55,55,73,76,94,109,123,140,140,145,157,157,157,157,168,198,206,223,238,238,242,242,242,251,252,264,267,271,273,282,307,371565
306,816,3,16,21,27,45,46,46,46,46,46,46,46,49,55,55,55,55,55,55,55,55,55,75,75,92,108,124,139,142,144,158,158,158,158,167,190,194,216,229,229,235,236,237,242,244,254,259,264,264,272,298,371636
147,464,5,16,21,27,32,32,32,32,32,32,32,32,37,37,37,37,37,37,37,37,41,41,53,77,92,111,127,145,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371782
133,448,6,16,21,28,33,33,33,33,33,33,33,33,37,41,41,41,41,41,41,41,42,42,60,61,78,95,110,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372191
124,432,11,16,21,28,28,30,30,30,30,30,30,30,35,38,38,38,38,38,38,38,38,38,56,59,72,90,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372196
472,816,8,16,21,26,66,66,66,66,66,66,66,66,68,70,70,70,70,70,70,70,70,70,89,89,112,128,143,156,156,164,183,183,183,183,189,220,230,248,269,269,280,312,327,342,368,370,400,412,432,453,461,372217
168,496,1,16,20,31,34,37,37,37,37,37,37,37,39,39,39,39,39,39,39,39,47,48,56,75,89,105,123,140,147,154,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372258
136,448,8,16,20,32,34,34,34,34,34,34,34,34,39,44,44,44,44,44,44,44,44,44,63,67,83,97,115,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372265
138,448,7,16,20,32,38,38,38,38,38,38,38,38,39,45,45,45,45,45,45,45,45,45,66,66,81,99,118,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372636
130,432,11,16,20,31,31,34,34,34,34,34,34,34,38,39,39,39,39,39,39,39,39,42,61,65,82,99,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372808
130,432,4,16,20,31,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,44,46,53,66,82,98,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372825
134,432,4,16,20,33,33,33,33,33,33,33,33,33,33,37,37,37,37,37,37,37,44,46,50,68,84,100,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372873
130,432,2,16,20,32,32,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,43,63,66,81,97,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372943
160,496,1,16,20,30,35,35,35,35,35,35,35,35,39,42,42,42,42,42,42,42,43,43,57,69,84,101,119,134,139,145,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372966
128,432,6,16,20,28,28,28,28,28,28,28,28,28,35,38,38,38,38,38,38,38,38,40,61,63,79,95,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372983
168,496,1,16,20,31,35,35,35,35,35,35,35,35,39,40,40,40,40,40,40,40,48,49,57,73,90,105,123,139,146,152,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373218
175,496,1,16,20,30,36,37,37,37,37,37,37,37,38,40,40,40,40,40,40,40,47,50,53,75,93,109,126,141,147,155,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373242
164,496,2,16,20,32,34,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,47,49,54,72,87,103,121,137,143,150,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373315
131,432,9,16,20,31,31,34,34,34,34,34,34,34,35,37,37,37,37,37,37,37,44,45,52,63,77,96,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373478
129,496,0,16,20,33,34,39,39,39,39,39,39,39,44,44,44,44,44,44,44,44,44,44,63,63,80,96,98,103,107,112,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373493
432,816,8,16,20,25,62,62,62,62,62,62,62,62,66,70,70,70,70,70,70,70,70,72,90,93,108,125,140,156,158,158,168,168,168,168,183,204,210,226,246,246,257,289,307,316,345,350,362,385,391,405,416,373549
